what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1391315554580
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1391315554581
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1391315554582
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1391315554582
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1391315554582
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1391315554584
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1391315554584
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1391315554585
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1391315554585
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1391315554586
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1391315554587
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1391315554588
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1391315554589
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1391315554590
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1391315554590
os,sysinfo,,,"macosx",1391315554594
arch,sysinfo,,,"x86_64",1391315554594
ws,sysinfo,,,"cocoa",1391315554594
locale,sysinfo,,,"en_US",1391315554594
processors,sysinfo,,,"4",1391315554594
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1391315554594
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1391315554594
java.specification.name,sysinfo,,,"Java Platform API Specification",1391315554594
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1391315554595
java.specification.version,sysinfo,,,"1.6",1391315554595
java.vendor,sysinfo,,,"Apple Inc.",1391315554595
java.version,sysinfo,,,"1.6.0_65",1391315554595
java.vm.info,sysinfo,,,"mixed mode",1391315554595
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1391315554595
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1391315554595
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1391315554595
java.vm.specification.version,sysinfo,,,"1.0",1391315554595
java.vm.vendor,sysinfo,,,"Apple Inc.",1391315554595
java.vm.version,sysinfo,,,"20.65-b04-462",1391315554595
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1391315558151
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1391315560315
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1391315560317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391315560526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391315589023
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391315616455
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1391315616685
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391315616767
